Sampling time,Reactor Temperature,Jacket Temperature,Heater current,Coolant flowrate,,,,,,,,,,,,,
0,44.34027296,36.27650731,20,8,,Data set with varying Coolant flowrate and Heater current for recording Tr and Tj,,,,,,,,,,,
0.5,44.46461694,37.03841892,20,8,,,,,,,,,,,,,
1,44.34027296,36.9368307,20,8,,,,,,,,,,,,,
1.5,44.24701498,37.11461008,20,8,,,,,,,,,,,,,
2,43.84289707,36.68286017,20,8,,"This data set can be used for ML model fit and RL controller design.,etc",,,,,,,,,,,
2.5,44.43353094,36.37809553,20,8,,,,,,,,,,,,,
3,43.71855309,37.2669924,20,8,,,,,,,,,,,,,
3.5,43.96724104,36.1749191,20,8,,,,,,,,,,,,,
4,45.42828273,37.90191874,20,8,,,,,,,,,,,,,
4.5,43.71855309,37.03841892,20,8,,,,,,,,,,,,,
5,44.34027296,37.11461008,20,8,,,,,,,,,,,,,
5.5,44.52678892,36.83524249,20,8,,,,,,,,,,,,,
6,45.42828273,37.34318356,20,8,,,,,,,,,,,,,
6.5,44.52678892,36.2257132,20,8,,,,,,,,,,,,,
7,44.52678892,36.68286017,20,8,,,,,,,,,,,,,
7.5,44.52678892,36.80984544,20,8,,,,,,,,,,,,,
8,44.71330488,36.98762481,20,8,,,,,,,,,,,,,
8.5,44.71330488,36.83524249,20,8,,,,,,,,,,,,,
9,44.58896091,36.68286017,20,8,,,,,,,,,,,,,
9.5,44.43353094,36.5558749,20,8,,,,,,,,,,,,,
10,43.78072508,37.29238945,20,8,,,,,,,,,,,,,
10.5,44.58896091,36.98762481,20,8,,,,,,,,,,,,,
11,44.68221889,37.11461008,20,8,,,,,,,,,,,,,
11.5,44.71330488,36.9368307,20,8,,,,,,,,,,,,,
12,44.30918697,37.54635999,20,8,,,,,,,,,,,,,
12.5,46.01891661,38.30827159,20,8,,,,,,,,,,,,,
13,44.74439088,37.36858061,20,8,,,,,,,,,,,,,
13.5,44.68221889,36.83524249,20,8,,,,,,,,,,,,,
14,44.71330488,36.98762481,20,8,,,,,,,,,,,,,
14.5,45.39719674,37.29238945,20,8,,,,,,,,,,,,,
15,44.58896091,36.91143365,20,8,,,,,,,,,,,,,
15.5,45.42828273,36.91143365,20,8,,,,,,,,,,,,,
16,44.74439088,36.91143365,20,8,,,,,,,,,,,,,
16.5,44.71330488,36.5558749,20,8,,,,,,,,,,,,,
17,43.62529511,36.91143365,20,8,,,,,,,,,,,,,
17.5,44.74439088,37.29238945,20,8,,,,,,,,,,,,,
18,44.71330488,36.83524249,20,8,,,,,,,,,,,,,
18.5,44.71330488,36.83524249,20,8,,,,,,,,,,,,,
19,44.80656286,37.03841892,20,8,,,,,,,,,,,,,
19.5,46.14326058,38.10509516,20,8,,,,,,,,,,,,,
20,44.83764886,36.83524249,20,8,,,,,,,,,,,,,
20.5,45.92565863,36.75905133,20,8,,,,,,,,,,,,,
21,44.80656286,36.91143365,20,8,,,,,,,,,,,,,
21.5,44.71330488,36.1749191,20,8,,,,,,,,,,,,,
22,44.40244495,36.80984544,20,8,,,,,,,,,,,,,
22.5,44.80656286,36.65746311,20,8,,,,,,,,,,,,,
23,44.74439088,37.62255115,20,8,,,,,,,,,,,,,
23.5,44.68221889,37.29238945,20,8,,,,,,,,,,,,,
24,44.74439088,36.98762481,20,8,,,,,,,,,,,,,
24.5,44.24701498,36.12412499,20,8,,,,,,,,,,,,,
25,44.74439088,37.49556588,20,8,,,,,,,,,,,,,
25.5,43.90506905,36.30190437,20,8,,,,,,,,,,,,,
26,45.49045472,37.11461008,20,8,,,,,,,,,,,,,
26.5,44.09158501,36.91143365,20,8,,,,,,,,,,,,,
27,44.86873485,37.19080124,20,8,,,,,,,,,,,,,
27.5,42.44402736,36.1749191,20,8,,,,,,,,,,,,,
28,44.80656286,37.24159534,20,8,,,,,,,,,,,,,
28.5,45.30393876,36.40349258,20,8,,,,,,,,,,,,,
29,43.90506905,36.1749191,20,8,,,,,,,,,,,,,
29.5,45.02416482,37.11461008,20,8,,,,,,,,,,,,,
30,44.99307883,36.9368307,20,8,,,,,,,,,,,,,
30.5,45.14850879,37.52096293,20,8,,,,,,,,,,,,,
31,44.74439088,37.16540418,20,8,,,,,,,,,,,,,
31.5,44.74439088,37.08921302,20,8,,,,,,,,,,,,,
32,44.80656286,36.9368307,20,8,,,,,,,,,,,,,
32.5,43.99832703,36.83524249,20,8,,,,,,,,,,,,,
33,45.73914267,37.34318356,20,8,,,,,,,,,,,,,
33.5,44.43353094,36.1749191,20,8,,,,,,,,,,,,,
34,45.49045472,36.2257132,20,8,,,,,,,,,,,,,
34.5,44.58896091,36.20031615,20,8,,,,,,,,,,,,,
35,46.14326058,37.54635999,20,8,,,,,,,,,,,,,
35.5,45.27285277,37.08921302,20,8,,,,,,,,,,,,,
36,45.02416482,36.75905133,20,8,,,,,,,,,,,,,
